country_name,avg_rating,total_reviews
Italie,4.430026109660575,2135839
France,4.447129909365559,2124809
États-Unis,4.4905405405405405,834263
Espagne,4.443617021276595,746710
Argentine,4.417391304347826,283673
Chili,4.43125,159256
Portugal,4.435714285714286,62454
Afrique du Sud,4.45909090909091,59995
Australie,4.458333333333333,52138
Hongrie,4.472727272727273,30564
Moldavie,4.4799999999999995,14114
Allemagne,4.5,8257
Suisse,4.35,1047
Israël,4.5,894
Grèce,4.4,610
Croatie,4.3,292
Roumanie,4.4,166
