vintage_year,avg_rating
1955,4.800000000000001
1962,4.7
1959,4.7
1929,4.7
1999,4.613636363636363
1965,4.6
1910,4.6
1968,4.55
1977,4.5
1975,4.5
N.V.,4.473076923076923
2008,4.425641025641026
1997,4.361111111111111
1995,4.2785714285714285
2004,4.26595744680851
2010,4.214285714285714
2009,4.205454545454546
2007,4.173076923076923
2005,4.1702702702702705
2003,4.152380952380953
2012,4.109090909090909
1998,4.029166666666667
1982,4.0
2011,3.99622641509434
2006,3.845652173913044
2013,3.761904761904762
2015,3.7319148936170214
2017,3.668681318681319
2000,3.624242424242424
2014,3.565671641791045
2016,3.5636363636363635
1996,3.4875
2002,3.426315789473684
2018,3.3742990654205607
2001,3.3303030303030305
1979,3.1333333333333333
1989,2.936363636363636
1990,2.88125
1985,2.8625
1988,2.84375
1994,2.75
1983,2.7
2019,2.476328502415459
2022,2.35
1986,2.325
1978,2.3
1992,2.2875
1993,2.283333333333333
1980,2.25
1961,2.25
1987,1.8399999999999999
1991,1.8
2021,1.7434782608695654
1967,1.5999999999999999
1970,1.5333333333333332
1960,1.5
1974,1.4666666666666668
2020,1.3829268292682926
1976,1.15
1984,0.0
1981,0.0
1973,0.0
1972,0.0
1964,0.0
1958,0.0
1949,0.0
1948,0.0
1937,0.0
1934,0.0
